names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Starships,spotify:track:2EBCVPNAG46nbgs6jXPGvv,['Nicki Minaj'],75,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627,4,5
Wild Strawberries,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,['PNAU'],0,0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921,235107,4,6
Papaoutai,spotify:track:09TcIuH1ZO7i4vicWKoaN2,['Stromae'],0,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,232147,4,5
Sweet Dreams (Are Made of This) - Remastered,spotify:track:1TfqLAPs4K3s2rJMoCokcS,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",82,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4,5
Rock and Roll - 1990 Remaster,spotify:track:3w2GGz0HjIu9OcWXINRFJR,['Led Zeppelin'],3,0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39,219800,4,7
Talk Dirty (feat. 2 Chainz),spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,"['Jason Derulo', '2 Chainz']",54,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,177685,4,2
La La La,spotify:track:36pLU2ywVeBKEF0rrKtmCB,"['Naughty Boy', 'Sam Smith']",62,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200,4,5
Play Hard (feat. Ne-Yo & Akon),spotify:track:0BBZuOGGBj9u4X3rAfmae8,['David Guetta'],54,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,201000,4,5
Feel This Moment (feat. Christina Aguilera),spotify:track:1obZSxOoO12yWkwY1kY72N,"['Pitbull', 'Christina Aguilera']",56,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4,6
Love Me Again,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,['John Newman'],0,0.5,0.892,2,-4.714,0,0.0433,0.00445,0.000422,0.0969,0.233,126.019,239894,4,5
