song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
Like a Rolling Stone,Bob Dylan,369600,0.482,0.721,0.731,0.0,0.189,-6.839,0.0321,0.557,95.263,4
Smells Like Teen Spirit,Nirvana,301240,0.485,0.863,1.22e-05,0.0162,0.138,-9.027,0.0495,0.767,116.835,4
A Day In The Life - Remastered,The Beatles,337413,0.364,0.457,0.29,0.000106,0.922,-14.162,0.0675,0.175,163.219,1
Good Vibrations (Mono),The Beach Boys,219146,0.398,0.413,0.0822,2.54e-05,0.0891,-10.934,0.0388,0.331,133.574,4
Johnny B Goode,Chuck Berry,160892,0.518,0.756,0.735,6.2e-05,0.317,-10.851,0.0915,0.968,166.429,2
Respect,Aretha Franklin,147600,0.805,0.558,0.164,2.2e-05,0.0546,-5.226,0.041,0.965,114.95,2
Be My Baby,The Ronettes,160906,0.511,0.769,0.181,0.0,0.0921,-7.032,0.042,0.818,129.657,2
What's Going On,Marvin Gaye,233000,0.282,0.716,0.451,0.0,0.399,-9.632,0.0985,0.83,201.958,4
I Heard It Through The Grapevine,Marvin Gaye,195266,0.729,0.324,0.195,0.0,0.101,-13.017,0.0393,0.679,116.855,2
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,222813,0.725,0.853,0.0348,0.127,0.196,-7.842,0.0353,0.904,136.282,2
Billie Jean,Michael Jackson,293826,0.92,0.654,0.0236,0.0158,0.0359,-3.051,0.0401,0.847,117.046,2
Heartbreak Hotel,Elvis Presley,128039,0.688,0.223,0.849,2.1e-06,0.0974,-11.476,0.0619,0.701,93.551,0
Born to Run,Bruce Springsteen,269200,0.253,0.868,0.0511,0.0,0.214,-9.773,0.073,0.68,146.647,4
My Generation - Original Mono Version,The Who,197320,0.332,0.822,0.165,9.33e-05,0.161,-6.558,0.0988,0.745,96.253,4
Love Will Tear Us Apart,Joy Division,206866,0.443,0.956,5.24e-05,0.825,0.135,-6.198,0.0511,0.909,146.754,3
God Only Knows - Mono / 1997 Remastered,The Beach Boys,173040,0.521,0.487,0.253,0.0,0.0579,-7.525,0.0299,0.483,117.072,4
(Sittin' On) the Dock of the Bay,Otis Redding,166826,0.484,0.312,0.724,1.65e-06,0.0601,-13.522,0.0535,0.598,205.981,0
Hey Ya! - Radio Mix / Club Mix,Outkast,235213,0.719,0.967,0.0588,0.000249,0.206,-2.435,0.0552,0.964,79.505,2
Anarchy In The UK - Remastered 2012,Sex Pistols,212480,0.359,0.949,0.0556,0.000396,0.236,-7.649,0.101,0.212,134.118,4
Paper Planes,M.I.A.,205200,0.541,0.854,0.0254,0.000125,0.651,-6.196,0.155,0.454,86.044,1
London Calling,The Clash,199733,0.653,0.797,0.0738,0.0,0.0847,-6.958,0.048,0.726,133.725,2
Sympathy For The Devil,The Rolling Stones,377746,0.566,0.673,0.565,1.13e-06,0.0438,-10.814,0.306,0.583,114.385,6
Strawberry Fields Forever - Remastered,The Beatles,247320,0.39,0.502,0.336,0.000138,0.0713,-12.277,0.178,0.289,97.871,0
Tutti Frutti,Little Richard,146640,0.532,0.591,0.782,0.0,0.0647,-3.81,0.0591,0.962,184.4,2
Stairway To Heaven,Led Zeppelin,478173,0.346,0.335,0.575,0.00674,0.185,-12.453,0.0339,0.213,84.204,0
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,431800,0.947,0.607,0.0249,4.76e-06,0.0861,-10.58,0.202,0.732,100.619,6
What'd I Say,Ray Charles,386560,0.506,0.618,0.657,2.31e-05,0.248,-11.278,0.0708,0.789,89.023,2
Imagine - Remastered 2010,John Lennon,187866,0.547,0.257,0.907,0.183,0.0935,-12.358,0.0252,0.169,75.752,0
A Change Is Gonna Come,Sam Cooke,191160,0.214,0.4,0.756,0.0,0.325,-10.042,0.0342,0.508,169.683,0
Heroes - 1999 Remaster,David Bowie,370373,0.478,0.774,0.000265,0.585,0.191,-6.977,0.0292,0.429,112.577,3
When Doves Cry,Prince,352906,0.729,0.989,0.0102,4.45e-05,0.443,-4.613,0.049,0.84,126.47,1
Superstition,Stevie Wonder,266160,0.609,0.657,0.0308,0.00221,0.071,-11.496,0.0695,0.872,100.607,2
Common People,Pulp,350373,0.319,0.839,0.00596,7.99e-05,0.0764,-7.341,0.0404,0.538,144.938,4
Gimme Shelter,The Rolling Stones,270773,0.63,0.616,0.463,0.0408,0.173,-8.128,0.0309,0.509,118.65,2
Strange Fruit,Billie Holiday,189360,0.304,0.104,0.963,0.000291,0.177,-15.835,0.0313,0.0608,81.02,0
You Really Got Me,The Kinks,133573,0.571,0.908,0.412,1.19e-06,0.0802,-8.208,0.0907,0.958,137.43,2
Crazy In Love (feat. Jay-Z),Beyoncé,236133,0.646,0.77,0.00249,0.0,0.0715,-6.596,0.226,0.681,99.165,6
Seven Nation Army,The White Stripes,231920,0.745,0.466,0.00666,0.35,0.272,-7.62,0.0864,0.303,123.889,3
Losing My Religion,R.E.M.,267733,0.672,0.841,0.0767,0.0,0.135,-5.992,0.0285,0.82,125.437,2
God Save The Queen,Sex Pistols,199453,0.304,0.901,0.00105,0.000376,0.158,-7.756,0.0602,0.541,147.199,4
Bohemian Rhapsody - Remastered 2011,Queen,354320,0.414,0.404,0.271,0.0,0.3,-9.928,0.0499,0.224,71.105,0
Blue Monday,New Order,447013,0.757,0.758,0.00708,0.831,0.112,-7.873,0.0512,0.918,130.505,3
