song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo
Like a Rolling Stone,Bob Dylan,369600,0.482,0.721,0.731,0.0,0.189,-6.839,0.0321,0.557,95.263
Smells Like Teen Spirit,Nirvana,301240,0.485,0.863,1.22e-05,0.0162,0.138,-9.027,0.0495,0.767,116.835
A Day In The Life - Remastered,The Beatles,337413,0.364,0.457,0.29,0.000106,0.922,-14.162,0.0675,0.175,163.219
Good Vibrations (Mono),The Beach Boys,219146,0.398,0.413,0.0822,2.54e-05,0.0891,-10.934,0.0388,0.331,133.574
Johnny B Goode,Chuck Berry,160892,0.518,0.756,0.735,6.2e-05,0.317,-10.851,0.0915,0.968,166.429
Respect,Aretha Franklin,147600,0.805,0.558,0.164,2.2e-05,0.0546,-5.226,0.041,0.965,114.95
Be My Baby,The Ronettes,160906,0.511,0.769,0.181,0.0,0.0921,-7.032,0.042,0.818,129.657
What's Going On,Marvin Gaye,233000,0.282,0.716,0.451,0.0,0.399,-9.632,0.0985,0.83,201.958
I Heard It Through The Grapevine,Marvin Gaye,195266,0.729,0.324,0.195,0.0,0.101,-13.017,0.0393,0.679,116.855
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,222813,0.725,0.853,0.0348,0.127,0.196,-7.842,0.0353,0.904,136.282
Billie Jean,Michael Jackson,293826,0.92,0.654,0.0236,0.0158,0.0359,-3.051,0.0401,0.847,117.046
Heartbreak Hotel,Elvis Presley,128039,0.688,0.223,0.849,2.1e-06,0.0974,-11.476,0.0619,0.701,93.551
Born to Run,Bruce Springsteen,269200,0.253,0.868,0.0511,0.0,0.214,-9.773,0.073,0.68,146.647
My Generation - Original Mono Version,The Who,197320,0.332,0.822,0.165,9.33e-05,0.161,-6.558,0.0988,0.745,96.253
Love Will Tear Us Apart,Joy Division,206866,0.443,0.956,5.24e-05,0.825,0.135,-6.198,0.0511,0.909,146.754
God Only Knows - Mono / 1997 Remastered,The Beach Boys,173040,0.521,0.487,0.253,0.0,0.0579,-7.525,0.0299,0.483,117.072
(Sittin' On) the Dock of the Bay,Otis Redding,166826,0.484,0.312,0.724,1.65e-06,0.0601,-13.522,0.0535,0.598,205.981
Hey Ya! - Radio Mix / Club Mix,Outkast,235213,0.719,0.967,0.0588,0.000249,0.206,-2.435,0.0552,0.964,79.505
Anarchy In The UK - Remastered 2012,Sex Pistols,212480,0.359,0.949,0.0556,0.000396,0.236,-7.649,0.101,0.212,134.118
Paper Planes,M.I.A.,205200,0.541,0.854,0.0254,0.000125,0.651,-6.196,0.155,0.454,86.044
London Calling,The Clash,199733,0.653,0.797,0.0738,0.0,0.0847,-6.958,0.048,0.726,133.725
